id,observed_on,time_observed_at,user_name,quality_grade,license,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,taxon_geoprivacy,positioning_method,positioning_device,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
725850,2014-06-07,2014-06-07 15:53:05 UTC,,research,CC-BY-NC,http://www.inaturalist.org/observations/725850,https://inaturalist-open-data.s3.amazonaws.com/photos/911675/medium.jpg,"",Feeding on China berry fruits. Mating observed .,3,0,false,"Los Angeles County, US-CA, US",34.1216028787,-118.2022157245,65,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
895023,2008-02-09,2008-02-10 00:27:29 UTC,Raphael D Mazor,research,CC-BY-NC,http://www.inaturalist.org/observations/895023,https://static.inaturalist.org/photos/1138535/medium.jpg,"","Don't know what kind of parrots, or what fruit they are de-fluffing.",2,0,false,"Los Angeles, California, United States",34.074701,-118.260827,,,open,,,,Los Angeles,Yellow-chevroned Parakeet,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves,19215
909667,2014-10-04,2014-10-04 18:28:47 UTC,Joel Ferree,research,CC-BY-NC,http://www.inaturalist.org/observations/909667,https://inaturalist-open-data.s3.amazonaws.com/photos/1159663/medium.jpg,"",,2,0,false,"Los Angeles County, US-CA, US",34.1040700468,-118.1373577222,,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
909668,2014-10-04,2014-10-04 18:27:13 UTC,Joel Ferree,research,CC-BY-NC,http://www.inaturalist.org/observations/909668,https://inaturalist-open-data.s3.amazonaws.com/photos/1159664/medium.jpg,"",,2,0,false,"Los Angeles County, US-CA, US",34.1962296107,-118.1411865372,,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
1040805,2014-10-22,,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/1040805,https://inaturalist-open-data.s3.amazonaws.com/photos/1305626/medium.JPG,"","""We live in West LA and see wild parrots regularly in our area during certain times of the year."" - S. Cohen and H. Cohen.

Photos and observation by S. Cohen and H. Cohen, sent to nature@nhm.org.
",2,0,false,"West Los Angeles, CA",34.041209,-118.442596,3775,3775,open,,,,Los Angeles,Yellow-headed Parrot,Amazona oratrix,Yellow-headed Amazon,Aves,18998
1077038,2014-11-16,2014-11-16 17:04:01 UTC,Miguel Ordeñana,research,CC-BY-NC,http://www.inaturalist.org/observations/1077038,https://inaturalist-open-data.s3.amazonaws.com/photos/1350121/medium.jpg,"",,2,0,false,"Los Angeles County, US-CA, US",34.1349277567,-118.1770597832,,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
1162810,2015-01-04,2015-01-04 19:58:00 UTC,"Richard Smart (he, him)",research,CC-BY-NC,http://www.inaturalist.org/observations/1162810,https://inaturalist-open-data.s3.amazonaws.com/photos/1465486/medium.JPG,"",We heard several parrots within Solstice Canyon. We only saw this one individual as it flew in the sky and then landed on a tree. My iPhone could only zoom in so much so I was not able to get a good shot. I cropped one of the photos to highlight the individual.,1,0,false,"Solstice Canyon Park, Malibu, CA",34.038443,-118.752311,50,50,open,,,,Los Angeles,Nanday Parakeet,Aratinga nenday,Nanday Parakeet,Aves,367562
1181029,2015-01-11,2015-01-11 23:37:29 UTC,John Oliver,research,CC-BY-NC,http://www.inaturalist.org/observations/1181029,https://static.inaturalist.org/photos/1491273/medium.jpg,"","La Crescenta, CA",2,0,false,"Los Angeles County, US-CA, US",34.3575056859,-118.2480475474,,28846,obscured,,"",,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
1252600,2015-02-22,2015-02-23 01:26:21 UTC,Cedric Lee,research,CC-BY-NC,http://www.inaturalist.org/observations/1252600,https://static.inaturalist.org/photos/1572464/medium.jpg,"","",2,0,false,"Los Angeles County, US-CA, US",34.1428941905,-118.1429368262,5846,28874,obscured,,,,Los Angeles,Red-crowned Parrot (Amazona viridigenalis),Amazona viridigenalis,Red-crowned Amazon,Aves,18976
1267256,2015-02-28,2015-03-01 02:00:00 UTC,uheise,research,CC-BY-NC,http://www.inaturalist.org/observations/1267256,https://inaturalist-open-data.s3.amazonaws.com/photos/1590485/medium.JPG,"","One of a small flock of four parrots: two red-lored amazons, two yellow-headed.",2,0,false,"10822 W Pico Blvd, Los Angeles, CA 90064",34.040503,-118.428067,,,open,,,,Los Angeles,Red-lored Parrot,Amazona autumnalis,Red-lored Amazon,Aves,18990
1267273,2015-02-28,2015-03-01 02:00:00 UTC,uheise,research,CC-BY-NC,http://www.inaturalist.org/observations/1267273,https://inaturalist-open-data.s3.amazonaws.com/photos/1590495/medium.JPG,"","One of a small flock of four parrots: two red-lored amazons, two yellow-headed. This one looks like a juvenile to me.",2,0,false,"W Pico Blvd, Los Angeles, CA 90064",34.040549,-118.428011,,,open,,,,Los Angeles,Yellow-headed Parrot,Amazona oratrix,Yellow-headed Amazon,Aves,18998
1267275,2015-02-28,2015-03-01 02:00:00 UTC,uheise,research,CC-BY-NC,http://www.inaturalist.org/observations/1267275,https://inaturalist-open-data.s3.amazonaws.com/photos/1590498/medium.JPG,"","One of a small flock of four parrots: two red-lored amazons, two yellow-headed. This one is the adult one.",2,0,false,"W Pico Blvd, Los Angeles, CA 90064",34.040549,-118.428011,,,open,,,,Los Angeles,Yellow-headed Parrot,Amazona oratrix,Yellow-headed Amazon,Aves,18998
1293183,2015-03-14,2015-03-15 01:30:20 UTC,,research,CC-BY-NC,http://www.inaturalist.org/observations/1293183,https://inaturalist-open-data.s3.amazonaws.com/photos/1622136/medium.jpg,"",,4,1,false,"Los Angeles County, US-CA, US",34.1404584838,-118.1745344646,20,28874,obscured,,,,Los Angeles,Amazon Parrots,Amazona,Amazon Parrots,Aves,18975
1395752,2014-01-16,2014-01-17 00:18:25 UTC,Mark C.,research,,http://www.inaturalist.org/observations/1395752,https://static.inaturalist.org/photos/1725788/medium.,"",Wild parrots,2,0,false,"Los Angeles County, US-CA, US",34.1259871892,-118.1345359944,,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
1472218,2015-03-10,,,research,CC-BY-NC,http://www.inaturalist.org/observations/1472218,https://inaturalist-open-data.s3.amazonaws.com/photos/1825145/medium.jpg,"",I saw a a bird with red and green feather on top of a tree. It looks like a parrot and I suggest that it is a psittaciformes.,2,0,false,"Los Angeles County, US-CA, US",34.0651572806,-118.0183989325,,28874,obscured,,,,Los Angeles,Yellow-crowned Parrot,Amazona ochrocephala,Yellow-crowned Amazon,Aves,19003
1608237,2015-06-08,,Dana,research,CC-BY-NC,http://www.inaturalist.org/observations/1608237,https://inaturalist-open-data.s3.amazonaws.com/photos/1977605/medium.jpg,"","",3,0,false,"Los Angeles County, US-CA, US",34.0095432378,-118.0323913888,,28874,obscured,,"",,Los Angeles,Amazon Parrots,Amazona,Amazon Parrots,Aves,18975
1631322,2015-05-28,2015-05-28 15:51:28 UTC,,research,CC-BY-NC,http://www.inaturalist.org/observations/1631322,https://inaturalist-open-data.s3.amazonaws.com/photos/2000807/medium.jpg,"","Red- Masked Parakeet
Psittacara erythrogenys ",5,2,false,"Los Angeles County, US-CA, US",34.0138067891,-118.1976665955,,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
1716466,2015-06-20,,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/1716466,https://inaturalist-open-data.s3.amazonaws.com/photos/2078976/medium.jpg,"social media, instagram","""My 2nd baby bird in 3 days falling into our back walkway."" - @_cathy320

Observation and photo by @_cathy320",4,0,false,"Los Angeles County, US-CA, US",34.1855080583,-118.0712555052,7855,28874,obscured,,"",,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
1852682,2015-04-14,,MSJ sexy as ever,research,,http://www.inaturalist.org/observations/1852682,https://static.inaturalist.org/photos/2252378/medium.jpg,"",Couple of Cherry Headed conure parrots in Magnolia Tree,3,0,false,"Los Angeles County, US-CA, US",34.0130826508,-118.2730205433,,28874,obscured,,,,Los Angeles,Red-masked Parakeet,Psittacara erythrogenys,Red-masked Parakeet,Aves,367572
1899831,2015-07-17,2015-07-18 03:00:00 UTC,uheise,research,CC-BY-NC,http://www.inaturalist.org/observations/1899831,https://inaturalist-open-data.s3.amazonaws.com/photos/2318074/medium.jpg,"",Flock of at least 200 red-crowned parrots gathering for the night.,1,0,false,"Los Angeles County, US-CA, US",34.0750912589,-118.1451875382,27,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
2353360,2015-11-01,,,research,CC-BY-NC,http://www.inaturalist.org/observations/2353360,https://inaturalist-open-data.s3.amazonaws.com/photos/2615843/medium.jpg,"",his feathers were mostly green and light green in front of his body. While his head was red. Stood in a branch whit other parrots around the tree. It wasn't bothered by people walking close to the it.,2,0,false,"Los Angeles County, US-CA, US",34.1182880707,-118.0853210908,13670,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
2448909,2015-12-01,,,research,CC-BY-NC,http://www.inaturalist.org/observations/2448909,https://inaturalist-open-data.s3.amazonaws.com/photos/2734776/medium.jpg,"","",2,0,false,"Los Angeles County, US-CA, US",34.0581001803,-118.1002987196,4,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
2450360,2015-12-03,,,research,CC-BY-NC,http://www.inaturalist.org/observations/2450360,https://inaturalist-open-data.s3.amazonaws.com/photos/2736952/medium.JPG,"Green, Parrot, San Gabriel",Lots of green parrots in my back yard. I am not sure what species they are.,2,0,false,"Los Angeles County, US-CA, US",34.1659196211,-118.0360988406,,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
2740843,2016-03-03,,Phil Liff-Grieff,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/2740843,https://inaturalist-open-data.s3.amazonaws.com/photos/3095025/medium.jpg,"birds, Southern California, California","Flocks of these feral parrots are a regular and noisy feature of this part of the foothills. This is one of four that chose to serenade us this morning from a roost high in a large eucalyptus (sorry, I don't have a telephoto lens so this is a grainy image). Their raucous and persistent call is what led me to id it as this species. Please correct this identification, if I am wrong.",3,1,false,"Los Angeles County, US-CA, US",34.2559130595,-118.2865261961,,28846,obscured,,,,Los Angeles,Red-lored Parrot,Amazona autumnalis,Red-lored Amazon,Aves,18990
2746962,2016-03-05,2016-03-05 17:39:08 UTC,Mary,research,CC-BY-NC,http://www.inaturalist.org/observations/2746962,https://inaturalist-open-data.s3.amazonaws.com/photos/3103875/medium.jpg,"","El Monte, CA.",2,0,false,"Los Angeles County, US-CA, US",34.1016719652,-118.1172682275,9,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
2770068,2016-03-03,,Mickey Long,research,CC-BY-NC,http://www.inaturalist.org/observations/2770068,https://inaturalist-open-data.s3.amazonaws.com/photos/3136630/medium.JPG,"","One seen with Red-crowned Parrots in eucalyptus and pines at north end of park.  A new parrot for us.  ID by Kimball Garrett, LACM.",2,0,false,"Veterans Memorial Park, Sylmar",34.328836,-118.416611,109,109,open,,,,Los Angeles,Scaly-headed Parrot,Pionus maximiliani,Scaly-headed Parrot,Aves,19094
2786251,2016-03-14,2016-03-15 00:33:00 UTC,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/2786251,https://inaturalist-open-data.s3.amazonaws.com/photos/3160336/medium.jpg,"email, nature@nhm.org","""We would like to submit this photo of our local wild parrot population near the Belmont Pier in Long Beach.""

- Ruth Lozano

Observation and photo by Ruth Lozano, sent to nature@nhm.org.",1,0,false,"Belmont Pier, Long Beach, CA",33.759254,-118.148129,95,95,open,,,,Los Angeles,Mitred Parakeet,Psittacara mitratus,Mitred Parakeet,Aves,367571
2797031,2016-03-17,2016-03-18 01:59:21 UTC,Jacob Tillman,research,,http://www.inaturalist.org/observations/2797031,https://static.inaturalist.org/photos/3174715/medium.jpg,"",The parrots around South Pasadena like Sycamore trees.,7,0,false,"916 Arroyo Dr, South Pasadena, CA, US",34.1150388333,-118.1678783333,,,open,,,,Los Angeles,Amazon Parrots,Amazona,Amazon Parrots,Aves,18975
2800756,2016-03-18,2016-03-19 00:21:56 UTC,,research,CC-BY-NC,http://www.inaturalist.org/observations/2800756,https://inaturalist-open-data.s3.amazonaws.com/photos/3179736/medium.jpg,"",,2,0,false,"Los Angeles County, US-CA, US",34.0992443886,-118.3484462985,10,28874,obscured,,,,Los Angeles,Amazon Parrots,Amazona,Amazon Parrots,Aves,18975
2833551,2016-03-26,2016-03-26 17:15:09 UTC,LSchare (she/her),research,CC-BY-NC,http://www.inaturalist.org/observations/2833551,https://inaturalist-open-data.s3.amazonaws.com/photos/3227594/medium.jpg,"","Not a great photo and I apologize, but there two green birds high in the tree -- maybe small parrots??",1,0,false,"Malibu Creek State Park, Agoura Hills, CA, US",34.0964861191,-118.7448227015,29,29,open,,,,Los Angeles,Nanday Parakeet,Aratinga nenday,Nanday Parakeet,Aves,367562
2889437,2016-04-02,2016-04-02 14:25:21 UTC,James M. Maley,research,CC-BY,http://www.inaturalist.org/observations/2889437,https://inaturalist-open-data.s3.amazonaws.com/photos/3303288/medium.jpg,"","",2,0,false,Occidental College,34.130926,-118.207542,17,17,open,,,Eagle Rock,Los Angeles,Lilac-crowned Parrot,Amazona finschi,Lilac-crowned Amazon,Aves,18993
2926052,2016-04-01,2016-04-01 23:03:00 UTC,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/2926052,https://inaturalist-open-data.s3.amazonaws.com/photos/3351324/medium.jpg,"email, nature@nhm.org","""A bunch of these guys visit our tree to eat the berries in Cypress Park.""

- Kara Lindquist

Observation and photo by Kara Lindquist, sent to nature@nhm.org.",3,0,false,"Los Angeles County, US-CA, US",34.162702714,-118.3917809894,2298,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
2964763,2016-04-18,2016-04-18 14:07:03 UTC,,research,CC-BY-NC,http://www.inaturalist.org/observations/2964763,https://inaturalist-open-data.s3.amazonaws.com/photos/3404200/medium.jpg,"",,2,0,false,"Los Angeles County, US-CA, US",34.1912767646,-118.0909182004,8,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
2994855,2016-04-19,,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/2994855,https://inaturalist-open-data.s3.amazonaws.com/photos/3444121/medium.jpg,"social media, twitter","From Twitter:

Yvonne ‏@nerd4birds  Apr 19
Lilac-crowned Parrots #natureinLA #beatSF #birding #nature",3,0,false,"los angeles, ca",34.052234,-118.243685,55115,55115,open,,,,Los Angeles,Lilac-crowned Parrot,Amazona finschi,Lilac-crowned Amazon,Aves,18993
2997226,2016-04-17,,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/2997226,https://inaturalist-open-data.s3.amazonaws.com/photos/3446819/medium.jpg,"social media, facebook","""Parrot family of four, eating my Pecan tree.""

- Jennifer Schmahl

Observation and photo by Jennifer Schmahl, sent via Facebook #natureinla",2,0,false,"Los Angeles County, US-CA, US",33.8782332535,-118.0011698482,6853,28902,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
3004055,2016-03-01,2016-03-01 18:02:56 UTC,,research,CC-BY-NC,http://www.inaturalist.org/observations/3004055,https://inaturalist-open-data.s3.amazonaws.com/photos/3455580/medium.JPG,"","",2,0,false,"Los Angeles County, US-CA, US",34.0503639399,-118.189075419,,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
3006270,2016-04-01,2016-04-01 14:58:09 UTC,John Oliver,research,CC-BY-NC,http://www.inaturalist.org/observations/3006270,https://static.inaturalist.org/photos/3458155/medium.jpg,"",Crescenta Valley Park,2,0,false,"Los Angeles County, US-CA, US",34.3071337654,-118.2326506729,,28846,obscured,,"",,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
3037856,2016-03-04,,"",research,CC-BY-NC,http://www.inaturalist.org/observations/3037856,https://inaturalist-open-data.s3.amazonaws.com/photos/3497566/medium.jpg,"",Parrot in a Palm Tree,3,0,false,"Los Angeles, California, United States",33.90099,-118.41066,,,open,,,,Los Angeles,Mitred Parakeet,Psittacara mitratus,Mitred Parakeet,Aves,367571
3129551,2016-04-09,,Brian Hinds,research,,http://www.inaturalist.org/observations/3129551,https://static.inaturalist.org/photos/3621007/medium.JPG,"","",2,0,false,"California, US",34.1974409446,-117.769281498,8,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
3145308,2016-05-10,2016-05-11 01:27:14 UTC,Chris DeGroof,research,,http://www.inaturalist.org/observations/3145308,https://static.inaturalist.org/photos/3637430/medium.jpg,"","There are wild parrots here, always flying around my house/neighborhood, but I never thought I'd see one as roadkill. ",3,0,false,"Los Angeles County, US-CA, US",34.3694956114,-118.2975443293,19,28846,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
3207557,2016-04-11,,Amy Jaecker-Jones,research,CC-BY-NC,http://www.inaturalist.org/observations/3207557,https://inaturalist-open-data.s3.amazonaws.com/photos/3712704/medium.jpg,"","",5,0,false,"Los Angeles County, US-CA, US",34.1483928733,-118.0005338726,54,28874,obscured,,,,Los Angeles,Loro tamaulipeco,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
3326999,2016-05-18,,Amy Jaecker-Jones,research,CC-BY-NC,http://www.inaturalist.org/observations/3326999,https://inaturalist-open-data.s3.amazonaws.com/photos/3843354/medium.jpg,"","",1,0,false,"Los Angeles County, US-CA, US",34.0414655119,-118.0535769981,54,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
3401948,2016-06-07,2016-06-07 16:39:36 UTC,Jacob Tillman,research,,http://www.inaturalist.org/observations/3401948,https://static.inaturalist.org/photos/3936925/medium.jpg,"",The focus is bad because it's hard to hold my binoculars up to the phone and take pics but these are the closest and most detailed I've gotten of a parrot.,3,0,false,"Arroyo Dr, South Pasadena, CA, US",34.1149361667,-118.1678083333,,,open,,,,Los Angeles,Lilac-crowned Parrot,Amazona finschi,Lilac-crowned Amazon,Aves,18993
3519715,2016-06-25,2016-06-25 17:07:12 UTC,Anne T Curran,research,CC-BY-NC,http://www.inaturalist.org/observations/3519715,https://inaturalist-open-data.s3.amazonaws.com/photos/4099782/medium.jpg,"",Heard calling in Liquid Amber tree,4,0,false,"Los Angeles County, US-CA, US",34.1910451927,-118.3806590785,5,28874,obscured,,,,Los Angeles,Amazon Parrots,Amazona,Amazon Parrots,Aves,18975
3534404,2016-05-08,,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/3534404,https://inaturalist-open-data.s3.amazonaws.com/photos/4118645/medium.png,"social media, Instagram",Observation and photo taken by @kulabird1  via instagram    #natureinla,2,0,false,"Vista Dr, Marino, CA 91108",34.129025,-118.114401,109,109,open,,,,Los Angeles,Yellow-headed Parrot,Amazona oratrix,Yellow-headed Amazon,Aves,18998
3534526,2016-05-09,,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/3534526,https://inaturalist-open-data.s3.amazonaws.com/photos/4118787/medium.JPG,"social media, Instagram",Observation and photo by @kulabird1 via Instagram #natureinLA,2,0,false,"The Huntington Library, Art Collections, and Botanical Gardens",34.129045,-118.114524,,,open,,,,Los Angeles,Yellow-headed Parrot,Amazona oratrix,Yellow-headed Amazon,Aves,18998
3534572,2016-06-27,2016-06-27 20:11:18 UTC,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/3534572,https://inaturalist-open-data.s3.amazonaws.com/photos/4118849/medium.png,"social media, Instagram",Observation and photo taken by @badasslydia via instagram    #natureinla,2,0,false,"Los Angeles County, US-CA, US",34.1312815677,-118.3736531401,56,28874,obscured,,,,Los Angeles,Amazon Parrots,Amazona,Amazon Parrots,Aves,18975
3609424,2016-04-18,,"",research,CC-BY-NC,http://www.inaturalist.org/observations/3609424,https://inaturalist-open-data.s3.amazonaws.com/photos/4169652/medium.jpg,"",          ,3,0,false,"El Miradero, Glendale, CA, USA",34.1780315927,-118.279607892,4,4,open,,,Glendale,Los Angeles,Lilac-crowned Parrot,Amazona finschi,Lilac-crowned Amazon,Aves,18993
3903451,2016-08-14,2016-08-14 18:30:03 UTC,,research,CC-BY-NC,http://www.inaturalist.org/observations/3903451,https://inaturalist-open-data.s3.amazonaws.com/photos/4587679/medium.jpg,,Chatty song birds.  Sounded like small parrots.,2,0,false,"8141 Garfield Ave, Bell Gardens, CA, US",33.9571339161,-118.1603415073,63,63,open,,,,Los Angeles,Barn Swallow,Hirundo rustica,Barn Swallow,Aves,11901
4233335,2016-08-24,2016-08-24 15:26:00 UTC,James M. Maley,research,CC-BY,http://www.inaturalist.org/observations/4233335,https://inaturalist-open-data.s3.amazonaws.com/photos/5056838/medium.jpg,"",                               ,2,0,false,"Los Angeles County, US-CA, US",34.1630305333,-118.2963732534,2,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
4241074,2016-09-30,2016-09-30 18:15:00 UTC,"",research,CC-BY-NC,http://www.inaturalist.org/observations/4241074,https://inaturalist-open-data.s3.amazonaws.com/photos/5068854/medium.jpg,"",          ,2,0,false,"Los Angeles County, US-CA, US",34.2876756336,-118.2664323282,296,28846,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
4241076,2016-09-30,2016-09-30 18:16:00 UTC,"",research,CC-BY-NC,http://www.inaturalist.org/observations/4241076,https://inaturalist-open-data.s3.amazonaws.com/photos/5068857/medium.jpg,"",          ,1,0,false,"Los Angeles County, US-CA, US",34.2515482101,-118.3015954972,296,28846,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
